iter	Passed	Remaining
892	36013	4315
893	36053	4274
894	36093	4234
895	36133	4194
896	36176	4154
897	36217	4113
898	36256	4073
899	36296	4032
900	36335	3992
901	36376	3952
902	36417	3911
903	36458	3871
904	36499	3831
905	36537	3790
906	36568	3749
907	36607	3709
908	36647	3668
909	36684	3628
910	36726	3587
911	36768	3547
912	36808	3507
913	36848	3467
914	36889	3426
915	36928	3386
916	36964	3345
917	37003	3305
918	37044	3265
919	37084	3224
920	37123	3184
921	37161	3143
922	37199	3103
923	37239	3062
924	37264	3021
925	37304	2981
926	37346	2940
927	37385	2900
928	37424	2860
929	37463	2819
930	37501	2779
931	37542	2739
932	37581	2698
933	37619	2658
934	37657	2617
935	37695	2577
936	37735	2537
937	37772	2496
938	37812	2456
939	37851	2416
940	37889	2375
941	37927	2335
942	37968	2295
943	38009	2254
944	38048	2214
945	38087	2174
946	38126	2133
947	38163	2093
948	38207	2053
949	38248	2013
950	38292	1973
951	38333	1932
952	38372	1892
953	38411	1852
954	38451	1811
955	38491	1771
956	38531	1731
957	38571	1691
958	38610	1650
959	38650	1610
960	38690	1570
961	38728	1529
962	38766	1489
963	38806	1449
964	38845	1408
965	38882	1368
966	38920	1328
967	38959	1287
968	38997	1247
969	39042	1207
970	39080	1167
971	39114	1126
972	39154	1086
973	39194	1046
974	39233	1005
975	39273	965
976	39312	925
977	39350	885
978	39388	844
979	39431	804
980	39469	764
981	39507	724
982	39547	683
983	39585	643
984	39625	603
985	39663	563
986	39703	522
987	39742	482
988	39780	442
989	39819	402
990	39859	361
991	39897	321
992	39935	281
993	39973	241
994	40011	201
995	40048	160
996	40087	120
997	40128	80
998	40169	40
999	40206	0
